RT_search,condition,distractor_suppression,load,memory_resp,practice,search_resp,subject_nr,suppressed
974.712848663,rel-mis,suppressed,1,1,no,1,0,yes
877.09403038,no,absent,1,1,no,1,0,yes
708.503961563,rel-mis,non-suppressed,2,0,no,1,0,no
832.999944687,unrel,suppressed,2,1,no,1,0,yes
1050.88305473,rel-mis,suppressed,2,1,no,1,0,yes
847.925186157,rel-mis,suppressed,1,1,no,1,0,yes
670.338869095,unrel,suppressed,1,0,no,1,0,yes
931.319952011,rel-match,suppressed,2,0,no,1,0,yes
713.964939117,rel-mis,suppressed,2,1,no,1,0,yes
875.09894371,unrel,non-suppressed,2,1,no,1,0,no
821.853160858,unrel,non-suppressed,1,1,no,1,0,no
758.281946182,no,absent,2,1,no,1,0,no
734.36999321,unrel,suppressed,1,0,no,1,0,yes
737.354040146,rel-match,suppressed,2,0,no,0,0,yes
962.892055511,rel-match,suppressed,2,0,no,1,0,yes
698.912143707,no,absent,2,1,no,1,0,no
964.527130127,rel-match,non-suppressed,1,1,no,1,0,no
882.694005966,unrel,non-suppressed,2,0,no,1,0,no
715.85893631,rel-match,suppressed,1,1,no,1,0,yes
840.821027756,rel-match,suppressed,1,1,no,1,0,yes
1071.81096077,rel-match,suppressed,1,1,no,1,0,yes
782.951116562,no,absent,1,1,no,1,0,yes
774.986028671,rel-mis,suppressed,1,1,no,1,0,yes
682.943105698,rel-mis,non-suppressed,2,1,no,1,0,no
780.553102493,unrel,suppressed,2,0,no,1,0,yes
739.420890808,unrel,suppressed,1,1,no,1,0,yes
669.147014618,no,absent,2,0,no,1,0,yes
772.103786469,rel-mis,suppressed,2,1,no,1,0,yes
767.825126648,no,absent,1,1,no,1,0,no
702.492952347,rel-match,suppressed,1,1,no,1,0,yes
727.928161621,rel-match,non-suppressed,1,0,no,1,0,no
807.281017303,unrel,suppressed,1,1,no,1,0,yes
751.523971558,rel-match,non-suppressed,2,1,no,1,0,no
908.976793289,unrel,non-suppressed,1,1,no,1,0,no
962.322950363,unrel,suppressed,2,1,no,1,0,yes
709.007978439,no,absent,1,1,no,1,0,no
698.947191238,unrel,suppressed,2,1,no,1,0,yes
763.646125793,no,absent,2,1,no,1,0,yes
718.075037003,rel-mis,suppressed,2,0,no,1,0,yes
587.102890015,no,absent,2,1,no,1,0,yes
756.585121155,rel-mis,suppressed,1,0,no,1,0,yes
835.084915161,rel-match,non-suppressed,2,1,no,1,0,no
844.022989273,rel-match,suppressed,2,1,no,1,0,yes
587.895870209,rel-mis,non-suppressed,1,1,no,1,0,no
645.680904388,no,absent,1,0,no,1,0,yes
792.955875397,no,absent,2,1,no,1,0,yes
690.754890442,no,absent,1,0,no,1,0,yes
573.945999146,no,absent,1,1,no,1,0,yes
755.488872528,rel-match,non-suppressed,2,1,no,1,0,no
923.597097397,rel-match,suppressed,1,0,no,1,0,yes
906.512975693,unrel,non-suppressed,1,1,no,1,0,no
863.86013031,rel-match,suppressed,1,1,no,1,0,yes
863.603115082,unrel,suppressed,1,1,no,1,0,yes
615.514039993,no,absent,2,1,no,1,0,yes
667.906999588,rel-mis,suppressed,2,0,no,1,0,yes
